feature,coefficient,abs_coefficient
num__cp,0.9377354404244738,0.9377354404244738
num__sex,-0.7140301567978149,0.7140301567978149
num__thal,-0.6215780683618346,0.6215780683618346
num__oldpeak,-0.5948186666294085,0.5948186666294085
num__ca,-0.5592027955256134,0.5592027955256134
num__thalach,0.5396293104526309,0.5396293104526309
num__exang,-0.4758830163823865,0.4758830163823865
num__chol,-0.4592100577415901,0.4592100577415901
num__slope,0.3078670529788832,0.3078670529788832
num__restecg,0.23547145007020662,0.23547145007020662
num__trestbps,-0.21143659187933428,0.21143659187933428
num__fbs,-0.06364885983507007,0.06364885983507007
